"","...1","Match_D","Match_G","Match_H","Document group","Document name","Code","Beginning","End","Weight score","Segment","Author","Creation date","Area","Coverage %","clean_text"
"32",32,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-3","Unethical.leader.behavior",58,68,0,"Interviewee:	So, um, we were in the motor pool, and the NCO, he was like, “Hey, person A, I need to, um, go and get that-that garbage over there and take it to the trashcan, make sure all that get done before you go home, blah, blah, blah.”
Interviewee:	And, um, person A was like, “Okay, I can do that.” But when person A went over and seen the garbage, um, she noticed that it was all of his trash cuz he-he brings stuff into, um, the shop like all the time, like worthless stuff that he don’t need or he just wanna show it off and stuff.  And it’s like don’t serve no purpose to anyone, like why are you trashing the shop over that. So, um, person A didn’t know that, person A thought it was just like, uh, trash needed to go out.
Interviewee:	And she’s thinking, well the way that she explained it is it’s the NCO, of course they can tell us to do stuff and we supposed to do it, but when it comes to like you like telling me to just go and get your trash and throw it away, it’s kinda degrading, you know. So, um, person A was—I mean this is not really a big deal, but person A was like, “You know what, I don’t care, whatever.” So they took the, um, trash can and they just put it—where did they put it? They put it somewhere, they didn’t—oh, I know what they did with it. They took it to another shop and just switched out their empty trash can with, um—
Interviewee:	- yeah, the one that was full. And then, um—
Interviewee:	Huh?
Interviewee:	Well, um, everybody in the shop was like, “Yeah, she took it out. I don’t know whose trash that is. Like that was already there.”","Norton Ohana",2000-11-11 09:46:00,1704,3.319179,"So we were in the motor pool and the NCO he was “Hey person A I need to go and get that that garbage over there and take it to the trashcan make sure all that get done before you go home blah blah blah.” And person A was “Okay I can do that.” But when person A went over and seen the garbage she noticed that it was all of his trash cuz he he brings stuff into the shop all the time worthless stuff that he don’t need or he wanna show it off and stuff. And it’s don’t serve no purpose to anyone why are you trashing the shop over that. So person A didn’t know that person A thought it was trash needed to go out. And she’s thinking well the way that she explained it is it’s the NCO of course they can tell us to do stuff and we supposed to do it but when it comes to you telling me to go and get your trash and throw it away it’s kinda degrading you know. So person A was I mean this is not really a big deal but person A was “You know what I don’t care whatever.” So they took the trash can and they put it where did they put it? They put it somewhere they didn’t I know what they did with it. They took it to another shop and switched out their empty trash can with yeah the one that was full. And then H? Well everybody in the shop was “Yeah she took it out. I don’t know whose trash that is. that was already there.”"
"33",33,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-3","Leader.deliberately.behaving.against.Military.valuesstandards",276,278,0,"Interviewee:	That’s, um, the one in charge of him, our platoon sergeant, he’s also in the shop. I definitely always go to, um NCOA, the one that was talkin’ about before I go to the one with the higher rank. The one with the higher rank, it’s like he don’t have his stuff together. And the only reason why he’s in a leadership position over the one that I was talking about.
Interviewee:	Is because he has higher rank. But like he is never on time. He come to work and he just fall asleep and—","Norton Ohana",2000-11-11 10:17:00,516,1.005103,"That’s the one in charge of him our platoon sergeant he’s also in the shop. I definitely always go to NCOA the one that was talkin’ about before I go to the one with the higher rank. The one with the higher rank it’s he don’t have his stuff together. And the only reason why he’s in a leadership position over the one that I was talking about. Is because he has higher rank. But he is never on time. He come to work and he fall asleep and "
"34",34,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-3","Leader.deliberately.behaving.against.Military.valuesstandards",285,296,0,"
Interviewee:	Definitely. Um, so it’s kinda funny. Um, well this is like a year ago that he got—he had got fired and then—
Interviewee:	We lost our first sergeant, so he got rehired. So, um—
Interviewee:	The reason he had got fired because we was at the old shop—uh, like a old motor pool before we moved here, it’s the same set up and everything, like—
Interviewee:	 NCO A he’s doing the—looks out for everybody, you know.
Interviewee:	And NCO B, he’s just comin’ in and he like this new leader. Well he-he had got fired because he just couldn’t handle like—I guess he couldn’t handle the stress the job was giving him or whatever. So he would just—he just didn’t come to work. Um, NCO A tried to call him, no answer, so NCO A, we didn’t have a platoon sergeant, so we was like, “Well fuck, we not gonna get notes or nothin’.”
Interviewee:	Um, so, um, somehow we got all the way up to our first sergeant, our first sergeant called him, still no answer. And then, um, finally he showed up and it’s like, yeah, he’s about to be AWOL and stuff. And then our first sergeant was like know what, uh, we can’t depend on him, he’s fired.","Norton Ohana",2000-11-11 10:17:00,1336,2.602361,"Definitely. so it’s kinda funny. well this is a year ago that he got he had got fired and then We lost our first sergeant so he got rehired. So The reason he had got fired because we was at the old shop a old motor pool before we moved here it’s the same set up and everything NCO A he’s doing the looks out for everybody you know. And NCO B he’s comin’ in and he this new leader. Well he he had got fired because he couldn’t handle I guess he couldn’t handle the stress the job was giving him or whatever. So he would he didn’t come to work. NCO A tried to call him no answer so NCO A we didn’t have a platoon sergeant so we was “Well fuck we not gonna get notes or nothin’.” so somehow we got all the way up to our first sergeant our first sergeant called him still no answer. And then finally he showed up and it’s yeah he’s about to be AWOL and stuff. And then our first sergeant was know what we can’t depend on him he’s fired."
"35",35,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-3","Unethical.leader.behavior",306,320,0,"Interviewee:	Um, he’s about to go to warrant school, so they thought okay, so we definitely need a NCO for the shop. So, uh, they went and they tried to get him again. And I mean he-he-he don’t show up, um, all out of it and looking tired and sleepy and shit as much as he did, but he still do it. And it’s hard to depend on him, cuz I know me and this other soldier in the shop—this is just like last week.
Interviewee:	I had combative, and this other soldier who’s just on regular PT. So I went to PT at 6:00—
Interviewee:	I’m doing the whole combative thing, I get home at 8:00.
Interviewee:	Um, soldier B, he goes to PT.
Interviewee:	Shows up, he was the only soldier there.
Interviewee:	So he was looking around like where is everybody.
Interviewee:	He called this other guy that’s in our platoon, well that used to be in our platoon. He got a new leader now. He’s like, “Hey, um, where everybody at?” He was like—and the other guy was like, “Hey, um, there’s no PT today, so nobody’s there.” And he was like, wow. So he went back home.
Interviewee:	And, um—and then like soon as I got home I got a call from the NCO, and I was like—and he was like, “Uh, hey, where you guys at? You and, um, soldier B are the only ones missin’.” And we was like, “What, what are you talking about?” And, um, this is 8-it’s 8:00. I just got home. And was like, “Yeah, um, we have this car inspection and everything for gra—uh, battalion wide car inspection.” And it’s like, um, what. And then he was like, “Yeah, you supposed to be here.” And we was like, “We didn’t get those notes.” And he was like, oh, okay. And, um, he didn’t tell us what he did or what he said. I’m pretty sure he probably put the blame on us and it’s like, yeah, they did—they re—misread the text or something, that’s what I’m guessing. But—","Norton Ohana",2000-11-11 10:14:00,1958,3.813939,"he’s about to go to warrant school so they thought okay so we definitely need a NCO for the shop. So they went and they tried to get him again. And I mean he he he don’t show up all out of it and looking tired and sleepy and shit as much as he did but he still do it. And it’s hard to depend on him cuz I know me and this other soldier in the shop this is last week. I had combative and this other soldier who’s on regular PT. So I went to PT at 00 I’m doing the whole combative thing I get home at 00. soldier B he goes to PT. Shows up he was the only soldier there. So he was looking around where is everybody. He called this other guy that’s in our platoon well that used to be in our platoon. He got a new leader now. He’s “Hey where everybody at?” He was and the other guy was “Hey there’s no PT today so nobody’s there.” And he was wow. So he went back home. And and then soon as I got home I got a call from the NCO and I was and he was “ hey where you guys at? You and soldier B are the only ones missin’.” And we was “What what are you talking about?” And this is 8 it’s 00. I got home. And was “Yeah we have this car inspection and everything for gra battalion wide car inspection.” And it’s what. And then he was “Yeah you supposed to be here.” And we was “We didn’t get those notes.” And he was okay. And he didn’t tell us what he did or what he said. I’m pretty sure he probably put the blame on us and it’s yeah they did they re misread the text or something that’s what I’m guessing. But "
"36",36,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-3","Unethical.leader.behavior",327,336,0,"
Interviewee:	Um—
Interviewee:	Yeah, we showed up late and then we had this LT come up to us and he was like, “Where you guys been?” We was like, uh—
Interviewee:	And then, um, that NCO, he was already at the car, I guess he heard the LT and he was like, “Hey, don’t worry sir, I got this.” So I’m guessing he didn’t tell anybody anything or how he messed up, so. I mean I guess he just didn’t say anything, like they ask us—
Interviewee:	Um—
Interviewee:	I don’t think it made a difference.","Norton Ohana",2000-11-11 10:16:00,799,1.556352,"Yeah we showed up late and then we had this LT come up to us and he was “Where you guys been?” We was And then that NCO he was already at the car I guess he heard the LT and he was “Hey don’t worry sir I got this.” So I’m guessing he didn’t tell anybody anything or how he messed up so. I mean I guess he didn’t say anything they ask us I don’t think it made a difference."
"37",37,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-3","Leader.makes.promises.with.no.intention.to.keep",356,378,0,"Interviewee:	Oh yeah, this one did happen to me. So, uh, he—well, okay, you got NCO A, that’s the good one.
Interviewee:	NCO B, that’s the-the higher ranking one, but then, uh—
Interviewee:	- and then you got the one in the middle.
Interviewee:	Staff sergeant, so the E5, E6 and E7s.
Interviewee:	So the E6, um, he sent me up to conference room to get notes.
Interviewee:	And I was thinking okay, cool. Um, I’m-I’m sitting up here, I’m writing down all the notes and everything. And he shows up like an hour later and he’s like, “Okay, I got it from here.” I was like, “You sure, cuz my handwriting’s sloppy, so I was gonna just send it out to everybody, so you didn’t have to struggle reading it and stuff.”
Interviewee:	So, um, he was like, “Yeah, yeah, I got it.” So I’m like, “All right, cool, I’m gonna go home now,” um, cuz it’s the end of the day, you know. Um, so I leave. I go home. And I get a text from the E5, cuz he was just getting off of leave.
Interviewee:	And he was like, “Hey, what’s going on tomorrow?” And I’m like, “Oh my goodness, really?” So, um—
Interviewee:	Because the fact that, um, the E6 didn’t put out the notes like he said he would. So, um, the next day at work, uh, I know we have one person show up to PT in the wrong uniform. Um, I know somebody—cuz that was the day of range, the-the M-M4 range, I believe. Um, a couple people didn’t show up for that cuz they was supposed to form up at there with all their gear on, and they didn’t show up for that—
Interviewee:	- they went straight to the motor pool and went to work. It’s a fiasco that day. And, um, when we got to the shop—
Interviewee:	- the E-E7 asked what-what happened—
Interviewee:	Yeah, he was like—cuz I’m getting call from first sergeant asking where so and so is. And so it went straight down the line back to me. It shoulda stopped at that E6, and I was like, nah, he came up there—cuz, um, the way he put it he was like, “Yeah, send some of you up there to take”—or send, uh, him up there to take notes. And, um—and he took the notes. And I was like—","Norton Ohana",2000-11-11 10:24:00,2389,4.653473,"yeah this one did happen to me. So he well okay you got NCO A that’s the good one. NCO B that’s the the higher ranking one but then and then you got the one in the middle. Staff sergeant so the E5 E6 and E7s. So the E6 he sent me up to conference room to get notes. And I was thinking okay cool. I’m I’m sitting up here I’m writing down all the notes and everything. And he shows up an hour later and he’s “Okay I got it from here.” I was “You sure cuz my handwriting’s sloppy so I was gonna send it out to everybody so you didn’t have to struggle reading it and stuff.” So he was “Yeah yeah I got it.” So I’m “All right cool I’m gonna go home now ” cuz it’s the end of the day you know. so I leave. I go home. And I get a text from the E5 cuz he was getting off of leave. And he was “Hey what’s going on tomorrow?” And I’m “my goodness really?” So Because the fact that the E6 didn’t put out the notes he said he would. So the next day at work I know we have one person show up to PT in the wrong uniform. I know somebody cuz that was the day of range the the M M4 range I believe. a couple people didn’t show up for that cuz they was supposed to form up at there with all their gear on and they didn’t show up for that they went straight to the motor pool and went to work. It’s a fiasco that day. And when we got to the shop the E E7 asked what what happened Yeah he was cuz I’m getting call from first sergeant asking where so and so is. And so it went straight down the line back to me. It shoulda stopped at that E6 and I was nah he came up there cuz the way he put it he was “Yeah send some of you up there to take” or send him up there to take notes. And and he took the notes. And I was "
"38",38,FALSE,FALSE,FALSE,"Ft. Carson","CARSON-R2-3","Unethical.leader.behavior",441,457,0,"
Interviewee:	Um, okay, so, um, the stuff that we work on, it belongs in the arms room.
Interviewee:	So, um, this one company was bringing down this box of stuff for us to work on, and we thought we counted it, we did all the paperwork right.
Interviewee:	And we thought everything was good to go. So, um, it was like, all right, so we’re gonna turn this into chief and gonna tell him what’s up.
[Extraneous conversation 33:40]

Interviewee:	So, um, we was like we gonna tell him what’s up. So we counted everything, made sure all the paperwork was there.
Interviewee:	There was this one item that didn’t match the paperwork. 
Interviewee:	Or, no, it was a—um, one extra paperwork and it was a item that went in there, or that’s what we thought.
Interviewee:	Yeah.
Interviewee:	So, um, we ended up finding it and our—and the chief was like, “Oh no, no, no, no,” cuz that would make it look like we was being sloppy with our work. So I wanted somebody to take one of these items back up there to the arms room and give it—put it on the counter and leave. So we did that. And, um, then, um, when he—uh, our chief was talking to, um, the le—the, uh, person in charge of the arms room, he’s like, “Yeah, one of y’all things is missin’, so maybe you should look around the arms room for it.” He just didn’t wanna look bad. So we-we had snuck it up there and we left it. And he was like, “Yeah, I looked around for it and I found it. Is this the serial number?” He’s like, “Yeah, that’s it.” So I mean it’s stuff like that. I’m pre—I mean it’s stuff like that that happens on a daily basis and, um, like—","Norton Ohana",2000-11-11 10:32:00,2040,3.973665,"okay so the stuff that we work on it belongs in the arms room. So this one company was bringing down this box of stuff for us to work on and we thought we counted it we did all the paperwork right. And we thought everything was good to go. So it was all right so we’re gonna turn this into chief and gonna tell him what’s up. So we was we gonna tell him what’s up. So we counted everything made sure all the paperwork was there. There was this one item that didn’t match the paperwork. Or no it was a one extra paperwork and it was a item that went in there or that’s what we thought. Yeah. So we ended up finding it and our and the chief was “no no no no ” cuz that would make it look we was being sloppy with our work. So I wanted somebody to take one of these items back up there to the arms room and give it put it on the counter and leave. So we did that. And then when he our chief was talking to the le the person in charge of the arms room he’s “Yeah one of y’all things is missin’ so maybe you should look around the arms room for it.” He didn’t wanna look bad. So we we had snuck it up there and we left it. And he was “Yeah I looked around for it and I found it. Is this the serial number?” He’s “Yeah that’s it.” So I mean it’s stuff that. I’m pre I mean it’s stuff that that happens on a daily basis and "
"39",39,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-5","Leader.deliberately.behaving.against.Military.valuesstandards",464,484,0,"Interviewee:	Which you see all the time. You know, you go—they go out drinking together. These guys, they party together, have relationships, break up. You know, you see it every—you see—see it all. 
Interviewee:	Well, that’s not—that’s—this’ll probably be acceptable for that. 
Interviewee:	Yeah. 
Interviewee:	It’s the di—the—the differentiation—the diff—the different ranks, the—so, uh, going from a noncommissioned officer to a lower enlisted, that’s not—you can’t do that. 
Interviewee:	Right. 
Interviewee:	No, it still does. 
Interviewee:	Um, no. I mean, it’s the same. I mean, but—but—but—but, um, for an officer to put himself in—in the position to begin with—
Interviewee:	Right. 
Interviewee:	Right. 
Interviewee:	Yeah. I mean, cuz then obviously, you know, automatically an—an officer will have, um—I mean, they hold, you know, intimidation factor over somebody that’s—
Interviewee:	Right.","Ben",2000-11-08 17:06:00,1768,3.434944,"Which you see all the time. You know you go they go out drinking together. These guys they party together have relationships break up. You know you see it every you see see it all. Well that’s not that’s this’ll probably be acceptable for that. Yeah. It’s the di the the differentiation the diff the different ranks the so going from a noncommissioned officer to a lower enlisted that’s not you can’t do that. Right. No it still does. no. I mean it’s the same. I mean but but but but for an officer to put himself in in the position to begin with Right. Right. Yeah. I mean cuz then obviously you know automatically an an officer will have I mean they hold you know intimidation factor over somebody that’s Right."
"40",40,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-5","Unethical.leader.behavior",544,552,0,"Interviewee:	I think, uh, well, in my experience, the only, um—the only circumstances I’ve ever had or I’ve ever dealt with something like that was, uh—was one occasion when a company commander lost his temper. 
Interviewee:	Um, I wouldn’t actually say if it was—I would say it was unethical, but—
Interviewee:	Yeah, he like, lost his temper and broke out a bunch of windows.
Interviewee:	Yeah. 
Interviewee:	Uh, I think he just had to pay for them.","Ben",2000-11-08 17:11:00,640,1.243419,"I think well in my experience the only the only circumstances I’ve ever had or I’ve ever dealt with something that was was one occasion when a company commander lost his temper. I wouldn’t actually say if it was I would say it was unethical but Yeah he lost his temper and broke out a bunch of windows. Yeah. I think he had to pay for them."
"41",41,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-5","Unethical.leader.behavior",557,588,0,"
Interviewee:	No, it was a platoon sergeant. 
Interviewee:	Yeah. Yeah. 
Interviewee:	Oh, I didn’t really think any—I mean, I knew it cuz the guy was—he was kind of a hot head, but that didn’t really make a difference with me at all. 
Interviewee:	He was confident. He was confident enough to be a commander. 
Interviewee:	No, not really. Cuz it was done—uh, he wasn’t down in front of, you know, a bunch of troops, you know. 
Interviewee:	It was more of a leadership thing that was—
Interviewee:	Right. Yeah. 
Interviewee:	I think an—anger management did get brought up, but I don’t think it was really taken too seriously. 
Interviewee:	So—
Interviewee:	I don’t know. I have no idea what happened. 
Interviewee:	I don’t know what ultimately became of it, but—
Interviewee:	Yeah, pretty much. 
Interviewee:	Cuz that’s usually just one of the main things that—that happens in the military. You know? So, you hear about it a lot. 
Interviewee:	Yeah. It happens quite often. 
Interviewee:	Uh, depends. It depends. Uh, it all comes down to investigations, but you will never hear about that. 
Interviewee:	You’ll never know what the outcomes are, um, unless you see them and see them with less rank on ‘em or something. I—you know, but all that stuff is maintained internal.","Ben",2000-11-08 17:13:00,2555,4.96396,"No it was a platoon sergeant. Yeah. Yeah. I didn’t really think any I mean I knew it cuz the guy was he was kind of a hot head but that didn’t really make a difference with me at all. He was confident. He was confident enough to be a commander. No not really. Cuz it was done he wasn’t down in front of you know a bunch of troops you know. It was more of a leadership thing that was Right. Yeah. I think an anger management did get brought up but I don’t think it was really taken too seriously. So I don’t know. I have no idea what happened. I don’t know what ultimately became of it but Yeah pretty much. Cuz that’s usually one of the main things that that happens in the military. You know? So you hear about it a lot. Yeah. It happens quite often. depends. It depends. it all comes down to investigations but you will never hear about that. You’ll never know what the outcomes are unless you see them and see them with less rank on ‘em or something. I you know but all that stuff is maintained internal."
"42",42,FALSE,FALSE,FALSE,"Ft. Carson","CARSON-R2-5","Leader.makes.promises.with.no.intention.to.keep",592,602,0,"Interviewee:	Um, to me it’s trust. Hm, uh, I think going back on your work is one good way to—to lose trust. 
Interviewee:	Um, saying one thing and doing another. 
Interviewee:	Um, not being—not having your back when, uh—when you need him. Like, if you’re fighting for something and you need somebody to back you up—
Interviewee:	- or to—to—to state your case—
Interviewee:	- whether—and it can be anything, like, from taking leave, you know, to a domestic abuse case or whatever. 
Interviewee:	You know, um, I think that’s the main thing. I’ve—I’ve a—but I think with most people it’s, um, saying one thing and doing another.","Ben",2000-11-08 17:14:00,749,1.455188,"to me it’s trust. I think going back on your work is one good way to to lose trust. saying one thing and doing another. not being not having your back when when you need him. if you’re fighting for something and you need somebody to back you up or to to to state your case whether and it can be anything from taking leave you know to a domestic abuse case or whatever. You know I think that’s the main thing. I’ve I’ve a but I think with most people it’s saying one thing and doing another."
"43",43,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-6","Leader.deliberately.behaving.against.Military.valuesstandards",130,131,0,"Interviewee:	Yeah. I-I’m trying to think. There’s so—so much has happened, over the years. I think, um, I think quite often, like, respect happens to be something that the army values very highly on. But I think a lot of leaders in the army don’t, um, don’t value it the same as others. And it-it becomes a lot of, you know, because I carry so much rank, you should respect me because of it. And, uh, uh, understand. It’s like, you have a boss or a supervisor. They-they’ve earned it. They should get their due respect for their position. But, a lot of leaders in the army tend to feel that, just because they’ve made it to such a-a such level and rank or status or position that they don’t have to, uh, still treat people with respect. 

And I think a lot of them forget that it is a two-way street, where, uh, I was actually—I—actually, I just saw-saw this, uh, not too long ago. I was walking in the hall, and this, uh, this guy had—he bumped into one of the higher ranking sergeants. And the sergeant said hey, what the F’s your problem, you know, and started screaming at him. And it was just a pure accident. He’s like I’m sorry, I’m sorry. He’s—and then he started ripping into him for not showing him proper respect, and it just became—I think it got blown way outta proportion just because, you know, I think he felt that, cuz he had a certain rank, that he was immune, shouldn’t whatever—should be untouchable or something.","joopark",2000-11-18 11:13:00,1433,2.789457,"Yeah. I I’m trying to think. There’s so so much has happened over the years. I think I think quite often respect happens to be something that the army values very highly on. But I think a lot of leaders in the army don’t don’t value it the same as others. And it it becomes a lot of you know because I carry so much rank you should respect me because of it. And understand. It’s you have a boss or a supervisor. They they’ve earned it. They should get their due respect for their position. But a lot of leaders in the army tend to feel that because they’ve made it to such a a such level and rank or status or position that they don’t have to still treat people with respect. And I think a lot of them forget that it is a two way street where I was actually I actually I saw saw this not too long ago. I was walking in the hall and this this guy had he bumped into one of the higher ranking sergeants. And the sergeant said hey what the F’s your problem you know and started screaming at him. And it was a pure accident. He’s I’m sorry I’m sorry. He’s and then he started ripping into him for not showing him proper respect and it became I think it got blown way outta proportion because you know I think he felt that cuz he had a certain rank that he was immune shouldn’t whatever should be untouchable or something."
"44",44,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R2-6","Unethical.leader.behavior",135,141,0,"Interviewee:	And when I say that, it was—like, everyone’s got a professional relationship and, you know, things are understood. But I think a lot of people tend to bring their personal relationships with people, beyond the professional line. And it really blurs and takes away, in my opinion, good order and discipline in the unit. And, uh, like, I’ve seen—I’ve seen officers flirt with soldiers. I’ve seen soldiers flirt with officers. And-and, you know, sergeants do the same thing. And it just kinda—a-a lot of that happens, but at the same time, in the—I think people kinda get too comfortable, where it’s like, you know, say, um, say a sergeant goes and—uh, on the weekend, and he takes one of his soldiers. And normally, I don’t care what people do in their personal time. But, you know, they do what they do, and then they come back, and they bring back what they did on the weekend to the workplace. And it’s like I think they need to leave that, you know, when business being conducted they should leave their personal life as their personal life.
Interviewee:	Yeah, I—
Interviewee:	Yes, quite often. 
Interviewee:	Um, like I said, I haven’t seen it much in this unit here. I-I’m still getting to learn kinda everyone and who-who they are, and how they are. But I know, in previous units, it was very much so that way.","joopark",2000-11-18 11:23:00,1716,3.340341,"And when I say that it was everyone’s got a professional relationship and you know things are understood. But I think a lot of people tend to bring their personal relationships with people beyond the professional line. And it really blurs and takes away in my opinion good order and discipline in the unit. And I’ve seen I’ve seen officers flirt with soldiers. I’ve seen soldiers flirt with officers. And and you know sergeants do the same thing. And it kinda a a lot of that happens but at the same time in the I think people kinda get too comfortable where it’s you know say say a sergeant goes and on the weekend and he takes one of his soldiers. And normally I don’t care what people do in their personal time. But you know they do what they do and then they come back and they bring back what they did on the weekend to the workplace. And it’s I think they need to leave that you know when business being conducted they should leave their personal life as their personal life. Yeah I Yes quite often. I said I haven’t seen it much in this unit here. I I’m still getting to learn kinda everyone and who who they are and how they are. But I know in previous units it was very much so that way."
"45",45,FALSE,FALSE,FALSE,"Ft. Carson","CARSON-R2-6","Unethical.leader.behavior",316,316,0,"Interviewee:	Yeah. Some people—some people make it. And I’m not saying there aren’t su-success stories, but a lot of people tend to make it, and then squash people under them because, for some reason, they feel that they need to protect themselves in their position, instead of developing the future.","joopark",2000-11-20 16:27:00,300,0.583976,"Yeah. Some people some people make it. And I’m not saying there aren’t su success stories but a lot of people tend to make it and then squash people under them because for some reason they feel that they need to protect themselves in their position instead of developing the future."
"46",46,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R3-2","Unethical.leader.behavior",91,98,0,"
Interviewee:	Um, I would say some NCOs—like, if I was to go outside and they have a certain section, like, they’re in charge of. They’re gonna get inspected on, let’s say, their—mm, their camo equipment or something—
Interviewee:	- like, all their radios. They’d be like, hey, um, hey, come in here, help me organize this, and we’ll help you—you know, I’ll help you with this. They’ll leave, and I’ll end up fixing the whole cage, but they’ll get the credit for it. Like—
Interviewee:	- he’ll be like, yeah, I did it. I did all this, and they won’t even mention that I helped, or something like that. Which isn’t really loyalty cuz, if anything, they would be like, yeah, my soldier helped me out, and—
Interviewee:	- we did this together. But they’ll take all the credit.","sujunjie",2000-11-19 17:08:00,949,1.88728,"I would say some NCOs if I was to go outside and they have a certain section they’re in charge of. They’re gonna get inspected on let’s say their their camo equipment or something all their radios. They’d be hey hey come in here help me organize this and we’ll help you you know I’ll help you with this. They’ll leave and I’ll end up fixing the whole cage but they’ll get the credit for it. he’ll be yeah I did it. I did all this and they won’t even mention that I helped or something that. Which isn’t really loyalty cuz if anything they would be yeah my soldier helped me out and we did this together. But they’ll take all the credit."
"47",47,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R3-2","Unethical.leader.behavior",114,120,0,"Interviewee:	Um, just like—and the things that they’ll say—and the NCOs and, like, the officers, they’ll see them say it, but they really won’t say anything, like, well, I can’t wait to get off of work, and I’m gonna just drink a 40 tonight, and I’m gonna just go get trashed. And I’m just like for real, the work day, like, hmm, stuff like that. And then there’s soldiers that—like, I had a—I had a get-together at my house, and had ended up drinking. And I was like, okay, everybody could spend the night. It’s fine. I have more than enough space. And then, one of the soldiers got outta hand.
Interviewee:	He drank way too much. Like, everybody was done drinking, and he was still drinking.
Interviewee:	And I had called one of the NCOs, and they’re like, oh, well, call the no DUI. But why couldn’t that NCO just come get him—
Interviewee:	- instead of having to call somebody else. But they didn’t pick up, so they ended up getting him, anyways. [Mumbling 00:09:30]. Then we have, like, three soldiers with DUIs. Yeah, and one of them got their second DUI, and he got kicked out.","sujunjie",2000-11-19 17:11:00,1153,2.292976," and the things that they’ll say and the NCOs and the officers they’ll see them say it but they really won’t say anything well I can’t wait to get off of work and I’m gonna drink a 40 tonight and I’m gonna go get trashed. And I’m for real the work day stuff that. And then there’s soldiers that I had a I had a get together at my house and had ended up drinking. And I was okay everybody could spend the night. It’s fine. I have more than enough space. And then one of the soldiers got outta hand. He drank way too much. everybody was done drinking and he was still drinking. And I had called one of the NCOs and they’re well call the no DUI. But why couldn’t that NCO come get him instead of having to call somebody else. But they didn’t pick up so they ended up getting him anyways. . Then we have three soldiers with DUIs. Yeah and one of them got their second DUI and he got kicked out."
"48",48,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R3-2","Unethical.leader.behavior",154,165,0,"
Interviewee:	It’s definitely inconsistent, but people do it every day.
Interviewee:	Like, it’s like a norm. It’s sad to say it’s a norm, but it is. Like, people just be like, oh, well, you and your fathead ass, or some stupid shit like that. And then they’ll just—it’s like a norm, but it’s—
Interviewee:	- it shouldn’t be, but it is.
Interviewee:	Yes.
Interviewee:	Oh, no.
Interviewee:	At all.","sujunjie",2000-11-19 17:13:00,788,1.567099,"It’s definitely inconsistent but people do it every day. it’s a norm. It’s sad to say it’s a norm but it is. people be well you and your fathead ass or some stupid shit that. And then they’ll it’s a norm but it’s it shouldn’t be but it is. Yes. no. At all."
"49",49,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R3-2","Leader.hypocrisy",166,169,0,"
Interviewee:	Not in a negative way. If anything, they’ll laugh, as well—
Interviewee:	- but they won’t, like, correct them or tell them not to do that.","kbeavan",2000-01-13 19:50:00,315,0.626442,"Not in a negative way. If anything they’ll laugh as well but they won’t correct them or tell them not to do that."
"50",50,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R3-2","Leader.hypocrisy",369,373,0,"Interviewee:	Definitely. Like, if they were—if they were true leaders and NCOs, they would stop it immediately and be like, look, that’s not appropriate—
Interviewee:	- wrong place, wrong time. Let’s cut it right here. You know, you’re probably offending that person. They’re not saying anything—
Interviewee:	- so, if anything, that’s what they should do, as leaders. But, doesn’t happen. They usually laugh along. Yeah.","kbeavan",2000-01-13 19:50:00,467,0.928725,"Definitely. if they were if they were true leaders and NCOs they would stop it immediately and be look that’s not appropriate wrong place wrong time. Let’s cut it right here. You know you’re probably offending that person. They’re not saying anything so if anything that’s what they should do as leaders. But doesn’t happen. They usually laugh along. Yeah."
"51",51,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R3-2","Unethical.leader.behavior",389,391,0,"Interviewee:	I think they’re unethical at all because, if I saw somebody—if somebody’s telling me at work that they’re gonna go home and drink every day, I would assume that there is a very big problem—
Interviewee:	- that that person either needs help and they’re refusing to get it, or that I’m failing them, as a leader.","sujunjie",2000-11-19 17:28:00,346,0.688092,"I think they’re unethical at all because if I saw somebody if somebody’s telling me at work that they’re gonna go home and drink every day I would ass that there is a very big problem that that person either needs help and they’re refusing to get it or that I’m failing them as a leader."
